lon,lat,voterType,COLOR,id
-89.8198693744,43.9566520194,NOVOTE,#9999999,76
-89.8198644512,43.9580589734,NOVOTE,#9999999,146
-89.8198579729,43.9675825604,REP,#ca0020,6353
-89.8198562079,43.9570774151,NOVOTE,#9999999,72
-89.8198544039,43.9729549687,NOVOTE,#9999999,6122
-89.8198535529,44.0112251617,NOVOTE,#9999999,10862
-89.8198461468,43.9560735681,NOVOTE,#9999999,73
-89.8198417933,43.9715552685,DEM,#0571b0,6126
-89.8198336889,44.1000923462,NOVOTE,#9999999,3000
-89.8198274132,43.8667305931,NOVOTE,#9999999,4916
-89.8198227978,43.9570115843,REP,#ca0020,62
-89.8198226805,43.9607517503,NOVOTE,#9999999,1475
-89.8198209195,43.9603854486,DEM,#0571b0,1457
-89.8198130778,44.0465838071,DEM,#0571b0,10908
-89.8198130444,44.0133236869,NOVOTE,#9999999,10860
-89.8198108629,43.9607346973,NOVOTE,#9999999,1480
-89.819810477,44.1897305995,REP,#ca0020,13712
-89.819800965,43.9724820337,REP,#ca0020,6119
-89.8198004128,43.7654172132,DEM,#0571b0,16028
-89.8197926352,43.9601746608,NOVOTE,#9999999,1479
-89.819791328,44.1093828479,NOVOTE,#9999999,3002
-89.8197890281,43.9593178757,DEM,#0571b0,128
-89.8197869222,43.9738358938,REP,#ca0020,6047
-89.8197861508,43.8677203072,NOVOTE,#9999999,4915
-89.8197859272,43.9602127489,DEM,#0571b0,1458
-89.8197802374,43.7776725998,NOVOTE,#9999999,15921
-89.8197740684,43.967091747,DEM,#0571b0,6352
-89.8197705345,43.9736208026,NOVOTE,#9999999,6049
-89.8197609105,43.9703054301,REP,#ca0020,6303
-89.8197575527,43.9603913371,DEM,#0571b0,1464
-89.8197575343,43.9728911886,NOVOTE,#9999999,6125
-89.8197486018,43.9628140563,NOVOTE,#9999999,1415
-89.8197321884,43.9676324039,NOVOTE,#9999999,6355
-89.8197306363,43.9773304902,NOVOTE,#9999999,5788
-89.8197284163,43.973084177,DEM,#0571b0,6117
-89.8197266731,44.2052894419,REP,#ca0020,14675
-89.8197081701,43.9592664858,NOVOTE,#9999999,141
-89.8196927485,43.9940274904,DEM,#0571b0,11430
-89.8196840054,44.0899547264,REP,#ca0020,3089
-89.8196813214,44.1170598548,NOVOTE,#9999999,2657
-89.819675832,43.9687348011,DEM,#0571b0,6301
-89.8196653832,44.0174517109,DEM,#0571b0,10806
-89.8196500372,43.9756864153,REP,#ca0020,5783
-89.8196174967,43.9601674033,REP,#ca0020,1465
-89.8196085509,43.8987438699,DEM,#0571b0,2210
-89.8196054354,44.0546925188,NOVOTE,#9999999,11050
-89.8196031563,43.9560960884,NOVOTE,#9999999,74
-89.8196026867,43.9598190407,REP,#ca0020,1467
-89.8195990148,43.9575572213,DEM,#0571b0,59
-89.8195841572,44.1987697046,REP,#ca0020,13620
-89.8195790696,43.9692071037,DEM,#0571b0,6302
-89.8195697789,43.9564958476,NOVOTE,#9999999,75
-89.819567499,43.9586680802,DEM,#0571b0,134
-89.819565809,43.9589063997,DEM,#0571b0,127
-89.8195650893,43.9728124321,NOVOTE,#9999999,6123
-89.8195550741,43.7444429497,REP,#ca0020,16226
-89.8195544544,43.9576614705,NOVOTE,#9999999,68
-89.8195453294,43.9697467859,NOVOTE,#9999999,6304
-89.8195392695,43.9713045405,NOVOTE,#9999999,6130
-89.8195385834,43.885149831,REP,#ca0020,4891
-89.8195373731,44.0630592679,NOVOTE,#9999999,11112
-89.8195325302,44.0555863402,DEM,#0571b0,11039
-89.8195267608,43.8681070536,NOVOTE,#9999999,4919
-89.8195229231,43.9669085971,NOVOTE,#9999999,6356
-89.8195223153,43.7097607575,DEM,#0571b0,4124
-89.8195186346,43.7448448326,REP,#ca0020,16220
-89.8195109322,44.1912266386,REP,#ca0020,13723
-89.8195040467,43.9583936053,REP,#ca0020,136
-89.8195009991,44.1979235686,REP,#ca0020,13621
-89.8194985419,43.9912013915,DEM,#0571b0,11332
-89.8194894683,43.9588274233,DEM,#0571b0,133
-89.819481659,43.9649016211,REP,#ca0020,1390
-89.8194755616,43.9631777671,DEM,#0571b0,1414
-89.8194740046,43.9604802993,NOVOTE,#9999999,1477
-89.8194614248,43.9605348334,REP,#ca0020,1468
-89.819449816,44.201394841,DEM,#0571b0,14711
-89.8194479908,44.2077626834,REP,#ca0020,14463
-89.8194464342,43.9607437062,NOVOTE,#9999999,1478
